combo_name,category_name,product_name,additional_price,is_default,product_description
頁日套餐,前菜,凱薩沙拉,0,true,新鮮蔬菜搭配凱薩醬
頁日套餐,前菜,蘑菇濃湯,10,false,香濃蘑菇湯
頁日套餐,前菜,薯條,0,false,香脆薯條
頁日套餐,主餐,烤雞胸肉,0,true,嫩烤雞胸肉
頁日套餐,主餐,牛排,50,false,精選牛排
頁日套餐,主餐,烤鮭魚,30,false,新鮮鮭魚
頁日套餐,飲品,可樂,0,true,經典可樂
頁日套餐,飲品,柳橙汁,5,false,新鮮柳橙汁
頁日套餐,飲品,咖啡,10,false,現煮咖啡
頁日套餐,甜點,冰淇淋,0,true,香草冰淇淋
頁日套餐,甜點,蛋糕,15,false,巧克力蛋糕
夏日特色套餐,前菜,水果沙拉,0,true,季節水果沙拉
夏日特色套餐,前菜,涼拌海帶,0,false,日式涼拌海帶
夏日特色套餐,主餐,烤魚排,0,true,香烤魚排
夏日特色套餐,主餐,海鮮義大利麵,20,false,海鮮義大利麵
夏日特色套餐,飲品,檸檬汽水,0,true,清爽檸檬汽水
夏日特色套餐,飲品,冰茶,5,false,冰涼紅茶
夏日特色套餐,飲品,果汁,10,false,綜合果汁
夏日特色套餐,甜點,芒果布丁,0,true,夏日芒果布丁
夏日特色套餐,甜點,刨冰,15,false,水果刨冰
經典商務套餐,前菜,麵包,0,true,香烤麵包
經典商務套餐,前菜,開胃菜,20,false,精選開胃菜
經典商務套餐,主餐,商務牛排,0,true,商務級牛排
經典商務套餐,主餐,烤羊排,40,false,香烤羊排
經典商務套餐,飲品,紅酒,50,false,精選紅酒
經典商務套餐,飲品,氣泡水,0,true,氣泡礦泉水
經典商務套餐,甜點,提拉米蘇,0,false,經典提拉米蘇
經典商務套餐,甜點,芝士蛋糕,25,false,紐約芝士蛋糕
